mereka melakukannya!	mereka tidak !
pembunuhnya masih di luar sana.	aku akan melindungimu.
selamat malam alice.	selamat malam brenda.
Besok adalah hari yang lain.	benar ! benar !
jumat depan.	terima kasih alice.
alasan khusus apa?	Hanya perasaan. Tidak ada yang bersifat pribadi.
Hanya perasaan. Tidak ada yang bersifat pribadi.	kamu ingin pergi?
ada apa dengan itu ?	basah. aku tidak tahu.
mati. coba telepon umum.	apakah kamu punya uang receh 10 sen? 25 sen?
dongkrak ?	marcie ?
marcie ?	Hai teman-teman!
Aku akan pergi memeriksa Brenda.	Oke .
Di mana ?	mereka berangkat sekarang.
kedengarannya seperti brenda.	Aku akan pergi melihatnya.
membantu Anda membersihkan?	sangat .
poin yang bagus.	yah, belum selama itu.
apa yang akan kamu lakukan ketika kamu meninggalkan tempat ini?	aku tidak tahu .
ya Tuhan . . .	kamu baik-baik saja?
seseorang akan melihat.	tidak, mereka tidak akan...
aku tidak akan tahu.	Oh kamu . . .
Kau tahu apa yang kukatakan.	aku tak bisa menghalangi...
kamu bilang kami istimewa.	maksudku segalanya.
Anda baru saja mendapat beberapa bidikan beruntung.	dimana ned?
kesempatan untuk membalas?	Saya akan memberi Anda lima poin.
gulingkan dia!	dukung dia lebih dong.
apa itu ?	apakah macet ?
Kamu menyelamatkan hidupku.	aku harus.
aku harus.	terima kasih .
bantu aku ?	untuk ya .
apa-apaan ?	dimana kamu mendapatkan barang itu?
dongkrak ?	pelatih direktur atletik di suatu tempat.
Haduh!	terkadang aku hanya berpikir tentang mencium wanita.
mmmmmmmph ?	mmmmmmmph.
mmmmmmmph.	yang terbaik atas . . .
apakah kamu basah?	hanya sedikit. tunggu sebentar wanita.
itu hanya mimpi.	Aku menyebutnya mimpi mandi.
bagaimana dengan neddy?	aku tidak mencintai Neddy.
aku tidak mencintai Neddy.	dia terus saja bertingkah seperti orang brengsek!
dia terus saja bertingkah seperti orang brengsek!	bagus !
bagus !	jangan panggil dia.
aku mencintaimu .	aku mencintaimu .
Bagaimana dengan jay terakhir kita?	panggilan yang bagus.
kamu baik-baik saja?	hal-hal itu bisa jadi buruk.
koboi.	Gadis tidak bisa menjadi koboi.
Gadis tidak bisa menjadi koboi.	oke pemadam kebakaran.
seks adalah satu-satunya hal yang kau pikirkan neddy.	Di sanalah Anda salah besar.
itu tiga puluh persen.	selama dua malam yang sepi.
Berapa banyak hutangku padamu?	suatu malam di kota.
suatu malam di kota.	maksud saya . . .
ada hal lain yang kamu inginkan?	tidak terima kasih. aku baik-baik saja. sandy.
aku harus .	aduh .
semoga beruntung .	kebetulan lainnya.
kebetulan lainnya.	Ya .
harus mengantarmu kesini steve.	Tentu .
Maksudku aku, anakku, dan anakku.	Buka pintunya. Aku akan naik.
berapa banyak yang bersamamu?	hanya aku dan anakku.
hanya aku dan anakku.	apa tujuan anda di meksiko?
kamu suka mobilnya?	saya bilang baru ini adalah .
jadi aku ikuti saja kamu?	ya ikuti kami.
ya ikuti kami.	jadi, mari kita lakukan.
apa masalahnya dengan orang ini?	saya tidak punya ide.
kenapa kamu ingin berhenti ?	aku kelelahan.
saya berjanji.	kate scott ?
apakah dia . . . ?	benar sekali.
sekarang apakah keadaanmu sudah beres?	selamanya bersama.
untuk keluarga Anda.	untuk Anda.
siapa lagi ?	lulus .
lulus .	mengapa tidak melawan agamamu?
apakah ini nyata ?	Ya .
mccoy asli.	Anda seorang pendeta?
Anda seorang pendeta?	saya adalah seorang menteri.
saya adalah seorang menteri.	adalah ? seperti tidak lagi ?
adalah ? seperti tidak lagi ?	Ya .
Ya .	kenapa kamu berhenti?
Ya .	tidak menyukainya ya?
tidak menyukainya ya?	tidak, aku tidak melakukannya.
kamu tidak akan membiarkan dia menyentuhnya?	Aku bisa menangani Richie, jangan khawatir.
siapa ini ?	istriku .
istriku .	dimana nona kecil itu?
dimana nona kecil itu?	di surga.
di surga.	dia sudah meninggal?
dia sudah meninggal?	ya dia .
ya dia .	bagaimana dia mati?
bagaimana dia mati?	kecelakaan mobil.
Tidak mungkin.	datang lagi ?
Baiklah permisi semuanya ke neraka.	apa ini tentang uang?
siapa namamu ?	yakub .
Aku akan melakukannya!	TIDAK !
TIDAK !	semuanya pulang!
oke oke aku janji akan melakukannya!	tidak cukup baik, demi Tuhan.
saya berjanji.	scott ?
melakukan apa?	apa yang kamu katakan padaku di ruangan itu.
apa yang kamu katakan padaku di ruangan itu.	apa yang aku katakan ?
apa yang aku katakan ?	kamu bertanya padaku apakah aku mau
Apa ?	kemana kamu akan membawa kami ?
kemana kamu akan membawa kami ?	meksiko .
meksiko .	apa yang ada di meksiko?
sampai jumpa.	Nanti .
saya minta maaf .	saya juga .
berapa peluru yang tersisa, nak?	tidak banyak.
awas punggungku!	kapan pun .
kita harus kembali demi ayah!	Ayah sudah meninggal.
Ayah sudah meninggal.	tidakkkkk!
Ya .	apakah kamu mempercayaiku ?
apakah kamu mempercayaiku ?	Ya .
Ya .	sebaiknya kau pergi saja.
kamu punya microwave	kamu punya wastafel
kamu punya wastafel	kamu sudah mandi
kamu sudah mandi	lihat televisi ini!
dia bilang kamu sedang menggaruk.	aku tidak menggaruk!
aku tidak menggaruk!	Anda menyebutnya pembohong?
wiski!	kamu tidak bisa masuk kesini.
kamu tidak bisa masuk kesini.	apa maksud dya ?
Apa kabarmu ?	terluka seumur hidup, itulah diriku!
Ya .	Baiklah kalau begitu tanyakan saja padanya, dasar bodoh.
Bagaimana ?	dimana kamu sekarang ?
dimana kamu sekarang ?	Apa maksudmu ?
Apa maksudmu ?	Kamu ada di mana ?
Kamu ada di mana ?	aku di sini bersamamu.
Kotoranku sudah rapi.	itu tidak terlihat bersama.
Itukah yang kamu pikirkan?	begitulah penampilanmu, richie.
begitulah penampilanmu, richie.	aku terlihat takut?
aku terlihat takut?	seperti itulah rupamu.
seperti itulah rupamu.	kamu tahu seperti apa penampilanmu?
kamu tahu seperti apa penampilanmu?	tidak richie seperti apa rupaku?
tidak richie seperti apa rupaku?	kamu tampak hijau.
jauh sekali. di mana kacamataku?	mereka hancur saat kamu terjatuh.
mereka hancur saat kamu terjatuh.	Oh sial Seth, itu satu-satunya pasangan milikku!
kamu baik-baik saja?	Ya, menurutku begitu. Apa yang terjadi?
Ya, menurutku begitu. Apa yang terjadi?	aku tidak tahu kamu baru saja pingsan.
aku tidak tahu kamu baru saja pingsan.	ya ?
pelankan suaramu.	atau apa ?
Kamu baru saja memanggilku orang gila.	tidak, aku tidak melakukannya.
maksudnya itu apa ?	Apa ?
Ini tidak akan berhasil.	diamlah. semuanya akan baik-baik saja
Richard!	Apa ?
Ya .	ya seth aku mengerti.
ya seth aku mengerti.	ya seth aku mengerti.
Dia ada di ruangan lain.	Apa yang dia lakukan disana?!
dimana wanita itu ?	Apa ?
melihat pemandangan.	apa yang kamu lihat?
apa yang kamu lihat?	polisi.
semua yang aku katakan	percakapan ini sudah selesai.
terasa baik.	Aku akan pergi mengambil uangnya.
apakah mereka punya TV kabel?	TIDAK .
nyalakan mobilnya.	Kamu percaya padaku kan?
Kamu percaya padaku kan?	Diam dan nyalakan mobilnya.
Wow . . .	apa yang kamu temukan kathy?
siapa kita ?	hanya beberapa wanita.
Baiklah. Bagaimana kabar gadis kita?	berdiri di sini di kantor saya.
berdiri di sini di kantor saya.	Jordan sayang. Bagaimana mereka memperlakukanmu?
lihat aku tuan?	Anda berteman dengan letnan pers?
kalau begitu selamat malam.	jadi saya akan mendapat kesempatan yang adil?
Aturan yang sama untuk semua orang, Tuan.	langsung ke atas ?
langsung ke atas ?	secara keseluruhan, tuan.
tidak, tuan.	tidak tuan apa?
apakah kamu baru saja mengalami _brain fart_?	maaf ?
Terima kasih tuan.	apakah Anda mau minuman? teh?
apakah Anda mau minuman? teh?	Saya baik-baik saja, Tuan.
newberry dapatkan foto. selatan ?	memasuki hasil pindaian saya sekarang . . .
memasuki hasil pindaian saya sekarang . . .	barat ?
Baik, Pak!	tidak masalah tuan!
aduh apa ini . . .	Pak . . .
Sial. Kayaknya kita udah kena tipu.	merokok dia.
merokok dia.	Aku tidak akan menembaknya.
Aku tidak akan menembaknya.	hanya kosong. biar aku yang melakukannya.
hanya kosong. biar aku yang melakukannya.	Hei. Itu bukan keputusanmu, kawan.
Ya ?	apakah kamu mendengarnya?
anak buah Gedung Putih menginginkan pertemuan pribadi.	Aku akan berpura-pura terkejut.
Saya yakin itu.	Anda akan memikirkan tawaran saya?
apa yang berubah ?	mungkin harus menanyakan hal itu padanya.
kamu kenal dia .	terdengar familiar.
eh pertanyaan bu.	Ya, sayang .
Saya akan mengerjakannya, Bu.	lakukan itu.
apa neil ?	Pak ?
tidak melakukannya dengan baik, o neil.	Saya akan mencobanya, Pak.
Aku sungguh ingin tahu siapa.	Ya. Aku juga.
di washington . . .	Apa ?
Jordan. Hati-hati.	Tentu. Saya akan bergabung dengan orang banyak.
jadi serahkan saja padaku.	ini tidak ada hubungannya denganmu.
kecuali anda pecinta wiski.	wajah kosong di sini o neil.
apakah kamu tahu...	Tentu saja tentu saja.
dia sudah menikah?	pada awalnya .
pada awalnya .	kamu punya seseorang yang peduli?
kamu punya seseorang yang peduli?	Bukan aku. Kamu?
Hei.. hebatnya cara mengatasinya.	terima kasih wick.
mereka lebih takut padamu.	Baiklah sekarang saya merasa jauh lebih baik.
dan bagaimana Anda tahu itu?	berhasil sampai minggu lalu.
Dingin ?	hisap itu!
apakah dia bagian dari pelatihan?	aku tidak tahu . . .
Apa yang kalian lakukan? Hah?	hanya bertanya
oh neil . . .	Diam tuan. Saya sedang berkonsentrasi.
mengerti .	Tunjukkan pada kami dimana kau berada, ketua.
apakah kamu ?	TIDAK .
TIDAK .	Saya sangat senang kita sepakat.
ayah .	Ada saudara laki-laki? saudara perempuan?
Ada saudara laki-laki? saudara perempuan?	dick jane dan spot.
ulangi sekali lagi tuan?	Kamu mendengarkanku. Lanjutkan saja.
Tentu. Sekarang dia ingin menembak.	bergerak !
jernih .	utara ?
subjek ?	atau neil jordan.
atau neil jordan.	kukira kalian berdua sudah menyelesaikan berkasnya.
kukira kalian berdua sudah menyelesaikan berkasnya.	Anda tahu tentang kami?
Anda tahu tentang kami?	Maaf. Kukira kau tahu, aku tahu.
Audrey akan tinggal bersama kita malam ini.	Bagus. Sampai jumpa.
dia tidak akan melakukannya.	Oh ya, dia akan melakukannya.
Menurutmu apakah kita bisa muat di sana?	hanya satu cara untuk mengetahuinya.
tidakkah menurutmu kita sudah cukup?	ya. pastinya. cukup pastinya.
Apa yang sedang kamu lakukan ?	lucy akan membunuhku jika dia tahu.
siapa sih orang Prancis itu.	Oh, hanya orang asuransi.
kamu akan terkejut.	benarkah? saya ingin mengetahuinya.
bagaimana kamu tahu ?	jaringan kami mencakup permainan ranger.
...dia hamil.	apa kamu yakin ?
Aku sudah cukup dekat.	apa lagi yang Anda ketahui tentang hal itu?
kebanyakan orang tidak.	Saya minta maaf Anda merasa seperti itu.
jadi kamu berhasil melakukannya.	Apa ?
Aku akan mengambil semuanya.	Kamu pasti punya banyak harem.
apakah romeo punya nama?	nick tatopoulos .
Apa urusanmu?	bisakah saya menggunakannya?
bisakah saya menggunakannya?	apa yang saya dapatkan ?
apa yang saya dapatkan ?	perasaan hangat karena membantu sesama.
perasaan hangat karena membantu sesama.	lima dolar.
lima dolar.	Kamu bercanda kan?
caiman tunggu. bawa aku bersamamu.	Apa ?
Tuan Caiman, Anda sudah menikah.	dan kamu cantik...
dan kamu cantik...	tuan caiman . . .
tuan caiman . . .	panggil aku charlie.
Jadi makan malamlah denganku malam ini.	aku tak bisa.
aku tak bisa.	Itu pilihanmu.
ini bukan tempatnya...	katakan saja padaku, apakah kamu berbicara dengannya?
Saya minta maaf tentang semua ini.	saya juga .
tidak untuk waktu yang lama sekarang.	Yah, menurutku kamu imut.
oh, aku belum menikah.	benarkah? pacar kalau begitu?
benarkah? pacar kalau begitu?	tidak. Mungkin saya bekerja terlalu banyak.
dimana luc dan pierre?	mereka tidak berhasil.
tutup saja.	dan bagaimana kita harus melakukannya tuan?
kamu cepat.	itulah tugas kami.
Halo ?	itu raymond.
itu raymond.	Kamu ada di mana ?
siapa kamu sebenarnya ?	Tidak apa-apa. Aku kenal dia.
Saya pikir kita harus pergi sekarang.	ide bagus.
ada apa dengan permen karet?	membuat kita terlihat lebih Amerika.
kedengarannya seperti perusahaan besar.	Itu dinas rahasia Prancis.
Itu dinas rahasia Prancis.	Oh .
apakah kamu yakin? bagaimana kamu tahu?	kami tahu .
kami tahu .	mengapa kamu menceritakan hal ini padaku?
mengapa kamu menceritakan hal ini padaku?	Aku butuh kamu untuk percaya padaku.
Aku butuh kamu untuk percaya padaku.	mengapa kamu membutuhkan itu?
apakah aku mengenalmu ?	Kita pernah bertemu sebelumnya.
Kita pernah bertemu sebelumnya.	Oh ya, orang asuransi.
apakah Anda mencari ini?	terima kasih .
uh uh! apa yang kita bicarakan?	Benar. . . maaf tuan.
Maaf tuan, saya hanya	jangan saja .
jangan saja .	. . .ya tuan. tempat tinggal anda tuan.
opo opo ?	Tidak ada apa-apa .
teruskan !	Kamu duluan! Tidak ada waktu!
tidak! kita hampir selesai!	jangan gila berhenti! titik!
jangan gila berhenti! titik!	Teruskan ! Teruskan !
santai saja para pria.	seperti menyiramkan bensin ke api. . .
kamu akan pergi ke sana.	aku tidak akan melakukannya dan tidak ada yang kau katakan
aku tidak akan melakukannya dan tidak ada yang kau katakan	pertunjukan harus tetap berlanjut.
menurutmu kamu bisa melakukan yang lebih baik di Laredo?	hei perhatikan film laredo itu.
apa yang terjadi ?	Mesinnya mati. Kita terombang-ambing.
Anda mengatakannya pada komandan.	Apa ?
tidak, aku tidak melakukannya.	ya, kamu melakukannya.
aku tidak tahu .	tidak ada yang melihat?
masuk ke awan! . .	alex ? kamu mau kemana ?
alex ? kamu mau kemana ?	untuk melihat apakah ada pub.
bolehkah saya mengambil ceknya?	kapal-kapal tersebut semakin mendekat...
Oh baiklah tidak ada yang bisa dimakan.	kenapa kamu tidak berhenti di pasar?
Anda dapat memesan sesuatu di .	Seorang anak laki-laki datang ke pintu.
alex kamu tidak bisa pergi begitu saja.	Oh, tidak bisakah aku? Lihat aku!
angkat gelas dan tekan tombol biru.	Hanya itu saja ?
pergi. mereka berangkat lagi.	ke atas .
ke atas .	apa ? naik ?
tidak, tunggu dulu, kan?	letnan madison pergi.
letnan madison pergi.	sialan! pergi!
sialan! pergi!	maju komandan.
oke sekarang. tapi	tunggu dua detik lalu pergi.
Ya . . . ?	Oke, di situlah kamu ingin berada.
siapa namamu nak?	merek .
sistem registrasi fungsional.	semua sistem bekerja komandan.
Musuh sedang menyamakan kecepatan.	Musuh sedang menyamakan kecepatan.
Ya ?	Bagaimana cuaca di luar?
Bagaimana cuaca di luar?	tidak ada cuaca di luar angkasa.
tidak ada cuaca di luar angkasa.	Saya tidak pernah bosan dengan lelucon itu.
Itulah mengapa kamu membangun kapal ini?	itu...luar biasa.
nama belakang kamu.	ya apa itu ?
Kita hidup kembali!	Kita berhasil. Komandan, kita berhasil.
tidak tahu sama sekali. kamu?	Menurutku, dia hanya suka menunjuk sesuatu.
mereka sudah pergi.	kemana mereka pergi? kembali ke dalam?
tidak pernah meragukanmu sedetik pun.	tommy derajat berbelok ke pelabuhan!
apa ? apa yang dia katakan ?	tidak ada. tolong tunggu.
jason . . bisakah kau mendengarku ?	ya. ya saya di sini!
bagaimana sebenarnya gerakan berguling membantu?	itu membantu.
Anda memainkan sisi baik Anda.	jangan konyol.
hanya jawaban untuk saya.	tapi aku komandannya!
itu jason...	tunggu sebentar aku hei aku sedang berpakaian.
Apa ?	kamu tersenyum padaku.
Anda harus mengakui mereka mencintainya.	hampir sama besarnya dengan dia mencintai dirinya sendiri.
sulit dipercaya .	kamu sangat penuh omong kosong
kamu bercanda. kapan?	besok pagi sebelum pembukaan toko.
kita berpura-pura...	lebih sederhana.
lebih sederhana.	kami . . kami berbohong.
tapi itu dia! . .	modelnya hanya sebesar ini.
modelnya hanya sebesar ini.	tapi... di dalam aku telah melihat
penipuan . . . kebohongan .	baiklah... semacam itu...
penyimpanan senjata ...	Ini benar-benar aman. Saya janji.
Ini benar-benar aman. Saya janji.	... fasilitas pemeliharaan ...
rumah .	Kamu...maksudmu bumi?
aku...tentu saja tapi	temui aku nanti oke?
ayo kita lakukan tommy.	komandan? . . panggil aku laredo?
pedal ke tommy logam . . .	injak pedal logamnya...
pergi ke mata. seperti dalam episode dengan	Dia tidak memiliki mata.
oke. . . pada apa?	bagaimana dengan kadal babi?
Oh benar maaf.	oke ayo pergi.
sinyal jenis apa?	apa pun .
lakukan yang terbaik tommy . . .	Ya Tuhan . . .
bisa jadi ini.	dorong. tahan.
lebih cepat tommy. keluarkan kami dari sini!	Itu sudah sejauh yang bisa dicapai!
Di mana ?	pergi saja! pergi! sialan pukulan pergi!
apa? apa? apa	Karena mereka datang tepat ke arah kita.
lanjutkan ke depan tuan?	kesabaran lt . . kesabaran .
Baiklah George, kamu siapa?	Saya? Kalian semua tahu sejarah saya.
tentara membutuhkanmu.	tentara dapat bertahan hidup tanpa aku.
Apakah itu fakta?	dia .
lebih dari tiga ratus mil.	Anda tampaknya senang dengan prospeknya.
aku? kamu minta maaf padaku?	ya william. saya minta maaf.
salah paham apa!?	banyak tahun telah berlalu.
banyak tahun telah berlalu.	apa ? apa yang sedang kamu bicarakan ?
apakah anda akan mempertahankannya, tuan?	lebih baik kita kongres yang menciptakannya.
berapa umurmu kapten?	Saya akan berusia dua puluh tahun tahun depan, Tuan.
Kami punya bubuk mesiu, tapi tidak punya bola!	kalau begitu gunakan batu!
membuat Anda tersedak.	kalau begitu, muntah saja pada penemuanmu sendiri.
kalau begitu, muntah saja pada penemuanmu sendiri.	oh ayolah . .
oh ayolah . .	kamu yang menemukan ini...
jenderal lee ditahan kapten. . .	ditahan karena apa?
ditahan karena apa?	tentara Inggris, tuan!
dan hamilton ? greene ?	mereka membantu saya memahami mengapa kita bertarung.
suatu rencana besar?	sebuah gerakan kristiani yang sedang berkembang pesat, george, kau lihat?
kolonel reed ...	george! Senang sekali bisa kembali!
Ya ampun! Siapa yang memerintahkan mundurnya ini?!	Jenderal Lee Sir!
Jenderal Lee Sir!	suruh orang-orang ini kembali berbaris!
saya hanya bermaksud...	perlengkapan ini...?
tidak hari ini.	Saya ingin kamu melihat rumah sakit kami.
Saya ingin kamu melihat rumah sakit kami.	Saya tidak ingin melihat rumah sakit Anda.
martha! demi tuhan!	tinggalkan aku sekarang tuan, aku lelah.
nah ini pasti tentang sesuatu!	kami membutuhkanmu george.
jenderal greene?	saya bersama kapten hamilton.
Apa yang sedang kamu lakukan ?	ayo buat kulitmu lebih gelap!
ayo buat kulitmu lebih gelap!	Kamu sudah gila!
semua orang punya hak!	hanya karena mereka dilahirkan?
hanya karena mereka dilahirkan?	Ya !
Ya !	siapa yang bilang begitu ?
siapa yang bilang begitu ?	saya katakan !
saya katakan !	jadi begitu . . .
Anda dihukum seumur hidup karena penculikan.	tenanglah beruang . . .
kamu mendapatkan uangnya?	tidak. apa ini?
kakinya. aduh malangnya ronnie. . .	ya aku akan sungguh merindukannya.
Jadi dimana uangnya?	Saya kira masih di loker.
sekitar enam puluh.	Tidak ada omong kosong? Apa saja itu?
tidak terlalu buruk.	Bagaimana saat kamu menuruni tangga?
dimana keponakanku?	kamu siapa?
dimana karen?	dalam kaleng. itu uangnya?
Karen? kamu baik-baik saja?	Dia tidak bisa bicara sekarang.
apa kau akan menembakku sekarang?	hanya dalam sedetik. dua...
hanya dalam sedetik. dua...	saya tidak percaya ini.
saya tidak percaya ini.	tiga .
saya butuh uangnya.	uang apa ?
Itu saja yang terjadi ya?	Itu saja.
Bagaimana dengan dia ?	lakukan sesuatu di sana.
Anda harus membawa sesuatu yang berat ke dalam kesepakatan itu.	Itu benar, aku.
Film apa yang kamu buat pertama kali ini?	harry biar aku yang menjawabnya.
C .	Itulah angka ajaib.
saya tidak bisa melakukannya.	Anda yakin tentang hal itu?
Anda yakin tentang hal itu?	Ini adalah jenis kesepakatan yang berbeda.
Apa ?	lihat aku ray
lihat aku ray	kamu bilang lihatlah kamu?
kamu bilang lihatlah kamu?	Itu benar. Lihat aku.
atau apa?	atau gunakan imajinasimu saja.
siapa ini ?	apakah kamu orang yang mereka sebut tulang sinar?
apakah kamu orang yang mereka sebut tulang sinar?	tergantung. siapa ini?
dia berutang uang padaku.	antri dong bro.
antri dong bro.	saya tidak suka menunggu.
kamu tinggal di miami?	itu benar .
itu benar .	apa yang kamu lakukan di los angeles?
apa yang kamu lakukan di los angeles?	Saya dalam bisnis film.
Saya dalam bisnis film.	Anda seorang investor, apakah itu?
Anda seorang investor, apakah itu?	Saya seorang produser.
Saya seorang produser.	Anda punya kartu di sini?
Anda punya kartu di sini?	belum. saya baru saja memulai.
lupakan uang leo harry.	kamu memilikinya ?
ini kuncimu harry.	Minggir dari kursiku.
Aku harus memberi tahu mereka sesuatu.	Jangan pernah mengatakan sesuatu kecuali jika memang harus.
Aku tidak akan memukulnya, Harry.	hanya sebuah pikiran.
apa yang kamu dapatkan dari ini ?	Mari kita lihat bagaimana kita bisa akur.
apa namanya ?	tuan lovejoy.
tuan lovejoy.	Tuan Lovejoy? Itu judulnya?
kamu bawa senjata?	tidak terlalu .
tidak terlalu .	maksudnya itu apa ?
maksudnya itu apa ?	mungkin beberapa kali saya mengalaminya.
mungkin beberapa kali saya mengalaminya.	pernah menembak seseorang.
pernah menembak seseorang.	sekali .
sekali .	Benarkah? Kamu pernah ditangkap?
aku bukan orang yang bernama harry.	tapi kamu bekerja di kasino?
penanda itu seperti cek harry.	aku tau apa itu penanda.
operator bagaimana cara mendapatkan informasi las vegas?	harry biar aku memberimu beberapa saran.
ya dia sudah memberitahuku.	secara pribadi ?
biar aku ngobrol sama sobat, atur pertemuan.	sobat ?
Bagaimana dengan ini ?	itu tidak buruk.
martin lihat aku.	aku sedang melihatmu
jadi kamu ingin tahu.	jika kamu mau beritahu aku ya.
jika kamu mau beritahu aku ya.	saya sedang memikirkan sebuah film.
saya sedang memikirkan sebuah film.	salah satu milikku?
salah satu milikku?	yang sedang kami produksi.
Itu semua milikku.	duduklah leo
kamu sudah kalah.	Saya mendapat dua belas ribu dolar hari ini.
bagaimana kamu tahu aku disini?	berikut tip lainnya...
kenapa lama sekali ?	tidak dapat menemukan sikat gigiku.
aku akan segera kembali.	pergi ambil barangmu.
apakah kamu takut disana?	Anda bertaruh.
Anda bertaruh.	kamu tidak bertindak seperti itu?
kamu mau turun ?	aku tidak tahu .
aku tidak tahu .	Kamu seburuk harry...
Kamu seburuk harry...	aku akan pergi. aku akan pergi.
harry . . . ya ampun . . .	Apa yang terjadi ?
saya ingin tahu .	mengapa ada orang yang ingin bermain film?
mengapa ada orang yang ingin bermain film?	Kemarin anda adalah seorang rentenir.
maka Anda sudah membacanya?	Belum .
kedengarannya adil.	apa yang anda dapatkan dari hal tersebut ?
kamu ada di sini sepanjang waktu?	aku baru saja menangkap bagian akhirnya.
apa yang kamu lakukan di luar sana?	Saya akan masuk ke bisnis film.
aku sudah bilang padamu untuk tidak melakukannya	Jangan katakan sepatah kata pun.
ya? tiga kata apa harry?	pilih dan simpan.
pilih dan simpan.	hm ?
hm ?	Anda mendengar saya memilih dan menyimpan.
Anda tampaknya merasa baik-baik saja tentang hal itu.	Maksudku secara moral, Murray adalah temanku.
Maksudku secara moral, Murray adalah temanku.	murray sudah meninggal.
harry kami berbicara dengan martin.	Kami ?
Kami ?	cabai dan aku.
ada yang mau main di kolam renang? Itu perlu.	harry
harry	aku pergi .
apa yang salah ?	Diam dan dengarkan.
Diam dan dengarkan.	saya tidak mendengar apa pun.
ya karen mengenalnya.	tapi kamu tertarik?
kapal penumpang . lebih dari .	katakan lagi . selesai .
hari apa sekarang ?	saya tidak tahu. selasa?
saya tidak tahu. selasa?	salah. sekarang hari jumat.
sialan pikirannya sendiri.	kapten pagi.
bagaimana sekarang ?	enam puluh pon.
enam puluh pon.	apa? kamu yakin?
apa? kamu yakin?	Itulah yang tertulis.
Itulah yang tertulis.	biar aku lihat.
menghindar . menghindar .	Apa ?
Apa ?	bangun .
bangun .	ya ya.
apakah kamu ?	tidak mungkin. kau pikir aku gila?
coba hari rabu.	benar . rabu .
merokok ?	Oh ya.
satu orang tidak akan sebodoh itu.	mungkin dia tidak sendirian.
mungkin itu perahunya.	biarkan aku istirahat.
Kurasa aku akan tetap bekerja saja.	kamu gila apa ?
kamu gila apa ?	saya suka pekerjaan saya.
Ini akan sedikit menyakitkan.	Terima kasih atas peringatannya aduh! sial!
siap ?	Ayo, Bung.
kamu pikir itu lucu	TIDAK .
oke.	oke ?
oke ?	Ya .
maureen .	Apa ?
Apa ?	maureen .
maureen .	maureen ?
siapa nama depan kamu ?	Apa ?
satu lagi ?	mengapa tidak .
kamu terlambat.	Maaf .
Maaf .	jangan tertidur.
jangan tertidur.	Kanan .
Kamu menghancurkannya!	Apa ? !
Apa ? !	jangan berbohong padaku !
jangan berbohong padaku !	apa-apaan ini ?
radionya!	radio. oh ya radio.
Saya pikir kamu tahu.	mungkin Anda bisa memberitahukannya kepada saya.
di kapal penumpang di?	jika mereka tahu apa yang mereka bawa.
menghindar ke murphy.	murphy .
apa itu ?	Saya pikir lebih baik Anda melihatnya sendiri.
Itu tebakanku.	jadi siapa pun yang melakukan ini mungkin masih ada.
sangat barbar itulah adanya.	bisa dimaksudkan sebagai peringatan.
kedengarannya seperti lambung kapal.	Arus air hangat mungkin membuat logam memuai.
naik ke atas kapal.	dia mengambil radio?
Berapa lama lagi itu akan memakan waktu?	seperti yang selalu aku katakan
seperti yang selalu aku katakan	aku tahu aku tahu dua cara untuk melakukan apa pun
aku tahu aku tahu dua cara untuk melakukan apa pun	cara yang benar dan cara yang salah.
cara yang benar dan cara yang salah.	tapi berapa lama ?
tapi berapa lama ?	Sulit untuk mengatakannya.
berapa lama ?	tiga empat hari.
tiga empat hari.	sialan menghindar.
dasar bajingan!	apa itu ?
apa itu ?	melemparkan bilah turbin.
Apa ?	Tidak ada. Ayo keluar dari sini.
pusing?	TIDAK .
TIDAK .	sakit kepala mual lampu?
sakit kepala mual lampu?	lampu ?
lampu ?	kilatan cahaya yang tiba-tiba.
kilatan cahaya yang tiba-tiba.	saya merasa baik-baik saja.
menjauhlah. atau yang lainnya.	karena emas.
kopi .	kamu seorang teman.
lalu kenapa mereka tidak mengambilnya.	mungkin tidak punya waktu.
murphy, kamu tidak melihat apa yang terjadi?	Saya pikir saya melihatnya dengan cukup baik.
Apa yang terjadi ?	kami sampai di daratan.
kami sampai di daratan.	Apa ?
di atas emas.	mungkin lebih dari itu.
epps? kamu disana?	disini .
murphy ke epps.	epp selesai.
epp selesai.	apakah ada di antara kalian yang pernah melihat dodge?
apa maksudnya itu ?	aku tidak tahu .
menunjukkan padamu apa?	Apa yang terjadi .
korban apa?	sesuatu yang buruk terjadi di sini murphy.
sesuatu yang buruk terjadi di sini murphy.	Saya pikir sebanyak itu telah kita bahas.
apakah kita cukup pintar untuk menghindarinya?	aku tidak tahu, apakah kita?
Hai .	Hai .
Hai .	tidak bisa tidur.
tidak bisa tidur.	Kuharap aku bisa mengatakan hal yang sama.
itu tidak akan menahan kita.	tidak masalah.
menghancurkannya dengan sangat parah.	tapi siapa?
Apa ?	seseorang menghentikannya tadi malam.
bagaimana kabarnya ?	sama. ada keberuntungan?
sama. ada keberuntungan?	tidak. Saya akan mencoba lagi nanti.
murphy ke epps.	epp .
epp .	Anda baru saja menembak sesuatu?
dapat lampu?	benar sekali.
Tidak ada omong kosong koboi di sana, mengerti?	tidak ada omong kosong koboi. benar.
santai saja kamu akan hidup lebih lama.	apakah kamu melihatnya ?
